area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot Area,2 Years,Rajajinagar,4 BHK,Mantri Espana,2516,3,1,249.87
Built-up Area,New Launch,Varthur,3 BHK,Godrej Air,1711,3,2,116.72
Super built-up Area,1 Year,Nagarbhavi,2 BHK,Brigade Cosmopolis,1129,1,2,135.75
Plot Area,1 Year,HSR Layout Sector 2,2 BHK,Godrej Aqua,1009,1,2,129.02
Carpet Area,2 Years,Jayanagar,3 BHK,Embassy Pristine,1629,2,0,77.03
Plot Area,New Launch,Hoodi,3 BHK,Sobha Windfall,1604,2,3,92.21
Super built-up Area,Ready To Move,Kadugodi,2 BHK,Purva Riviera,1170,1,0,83.47
Carpet Area,2 Years,Domlur,3 BHK,Row House,1776,2,3,181.59
Super built-up Area,Under Construction,Ramamurthy Nagar,3 BHK,Mantri Espana,1882,3,1,108.67
Plot Area,2 Years,Vijayanagar,2 BHK,Prestige Golfshire,1140,1,1,102.85
Carpet Area,6 Months,Vijayanagar,3 BHK,Salarpuria Misty Charm,1497,1,3,113.18
Plot Area,Ready To Move,Bannerghatta Road,4 BHK,Sobha Dream Acres,2470,4,1,224.64
Built-up Area,Immediate Possession,Kadugodi,2 BHK,Sobha City,1114,1,1,56.2
Built-up Area,1 Year,Koramangala 5th Block,3 BHK,Brigade Orchards,1701,3,0,194.86
Built-up Area,2 Years,Mahadevapura,3 BHK,Salarpuria Greenage,1517,2,2,108.15
Plot Area,1 Year,Basavanagudi,4 BHK,Mantri Serenity,2447,3,2,374.9
Carpet Area,Under Construction,Whitefield,3 BHK,Brigade Millennium,1637,1,1,108.12
Plot Area,6 Months,Hennur,3 BHK,Row House,1537,2,1,94.86
Built-up Area,2 Years,Banaswadi,2 BHK,Builder Floor,1093,1,2,83.21
Plot Area,1 Year,HSR Layout Sector 6,3 BHK,Prestige Golfshire,1483,2,2,116.86
Plot Area,New Launch,Yelahanka,3 BHK,Embassy Lake Terraces,1611,2,2,108.96
Carpet Area,Ready To Move,Kadugodi,4 BHK,Prestige Lakeside Habitat,2574,3,3,251.14
Built-up Area,2 Years,Basaveshwara Nagar,4 BHK,Standalone Villa,2640,3,1,236.79
Plot Area,6 Months,Marathahalli,3 BHK,Purva Fountain Square,1551,3,1,103.18
Built-up Area,1 Year,HSR Layout Sector 1,4 BHK,Salarpuria Misty Charm,2706,3,1,404.07
Carpet Area,6 Months,Thanisandra,3 BHK,Godrej Eternity,1702,1,3,68.55
Plot Area,Immediate Possession,HSR Layout Sector 2,3 BHK,Godrej United,1525,3,1,262.03
Super built-up Area,6 Months,Yeshwanthpur,5 BHK,Purva Highlands,3376,5,2,123.36
Plot Area,2 Years,Varthur,2 BHK,Brigade Gateway,1057,2,3,40.47
Carpet Area,Ready To Move,Banashankari,3 BHK,Brigade Orchards,1485,2,1,75.82
Super built-up Area,1 Year,Nagarbhavi,2 BHK,Embassy Pristine,1008,1,2,72.35
Built-up Area,Immediate Possession,Vijayanagar,3 BHK,Mantri Serenity,1666,1,1,104.73
Carpet Area,New Launch,Bellandur,3 BHK,Salarpuria Greenage,1825,1,2,95.14
Carpet Area,2 Years,Hebbal,3 BHK,Prestige Shantiniketan,1657,3,0,86.66
Carpet Area,6 Months,Vijayanagar,2 BHK,Embassy Springs,1132,2,1,87.27
Super built-up Area,6 Months,HSR Layout Sector 2,5 BHK,Sobha Silicon Oaks,3128,4,2,485.94
Built-up Area,Under Construction,Nagarbhavi,3 BHK,Godrej Aqua,1623,2,2,65.22
Plot Area,1 Year,Electronic City,4 BHK,Embassy Springs,2559,3,2,136.17
Super built-up Area,Immediate Possession,HSR Layout,4 BHK,Prestige Song of the South,2014,2,1,279.31
Plot Area,Under Construction,KR Puram,1 BHK,Mantri Webcity,609,1,2,33.81
Carpet Area,New Launch,Marathahalli,3 BHK,Godrej Aqua,1700,1,2,42.46
Plot Area,Ready To Move,Yelahanka,4 BHK,Godrej Aqua,2548,3,1,157.32
Built-up Area,Under Construction,Ramamurthy Nagar,4 BHK,Salarpuria Misty Charm,2289,4,2,72.51
Plot Area,2 Years,Hoodi,3 BHK,Salarpuria Sattva,1362,2,3,53.86
Super built-up Area,6 Months,Electronic City,2 BHK,Godrej Eternity,1144,1,2,33.32
Built-up Area,Ready To Move,Marathahalli,3 BHK,Builder Floor,1547,3,1,137.82
Carpet Area,Immediate Possession,Whitefield,3 BHK,Godrej Air,1915,3,1,121.64
Carpet Area,2 Years,Koramangala 6th Block,3 BHK,Purva Panorama,1834,2,2,176.13
Plot Area,Under Construction,Jayanagar,3 BHK,Standalone Villa,1727,2,2,215.53
Super built-up Area,2 Years,Varthur,3 BHK,Brigade Gateway,1677,2,2,115.63
Built-up Area,Immediate Possession,Koramangala 6th Block,1 BHK,Godrej Aqua,642,1,2,28.08
Super built-up Area,6 Months,Hennur,3 BHK,Sobha City,1805,3,2,206.74
Carpet Area,Ready To Move,Bellandur,4 BHK,Salarpuria Misty Charm,2068,3,0,81.37
Built-up Area,Ready To Move,Koramangala 7th Block,3 BHK,Embassy Pristine,1611,2,2,79.57
Built-up Area,6 Months,HSR Layout Sector 1,4 BHK,Mantri Webcity,2585,2,2,186.33
Plot Area,2 Years,BTM Layout 2nd Stage,4 BHK,Purva Highlands,2618,4,1,381.04
Super built-up Area,New Launch,BTM Layout 2nd Stage,3 BHK,Embassy Boulevard,1729,2,1,190.17
Built-up Area,2 Years,Hebbal,4 BHK,Embassy Pristine,2582,3,1,130.93
Super built-up Area,New Launch,Ramamurthy Nagar,2 BHK,Godrej Eternity,1167,1,2,36.59
Super built-up Area,2 Years,BTM Layout 2nd Stage,5 BHK,Builder Floor,3338,5,1,193.42
Carpet Area,6 Months,BTM Layout 2nd Stage,2 BHK,Standalone Villa,985,1,2,77.41
Built-up Area,New Launch,Koramangala 4th Block,5 BHK,Purva Fountain Square,2695,4,1,384.75
Built-up Area,New Launch,Hennur,2 BHK,Godrej United,880,1,2,38.77
Plot Area,Ready To Move,Kalyan Nagar,4 BHK,Embassy Pristine,2862,4,1,323.03
Super built-up Area,New Launch,Mahadevapura,4 BHK,Row House,2311,2,3,282.5
Plot Area,New Launch,HSR Layout Sector 2,2 BHK,Embassy Pristine,969,1,3,118.26
Super built-up Area,6 Months,Banashankari,2 BHK,Sobha City,1175,1,2,104.05
Carpet Area,6 Months,HSR Layout,2 BHK,Standalone Villa,913,1,1,43.53
Carpet Area,1 Year,BTM Layout 1st Stage,2 BHK,Godrej Eternity,1106,2,1,115.87
Carpet Area,Immediate Possession,Indiranagar,5 BHK,Purva Riviera,3402,4,1,330.8
Super built-up Area,2 Years,Koramangala 4th Block,2 BHK,Godrej United,1138,1,3,116.08
Carpet Area,1 Year,Domlur,2 BHK,Sobha City,1109,1,1,113.18
Plot Area,Under Construction,Marathahalli,3 BHK,Salarpuria Greenage,1608,2,2,132.61
Built-up Area,Immediate Possession,BTM Layout,2 BHK,Mantri Serenity,1075,2,2,46.16
Plot Area,Under Construction,Koramangala,6 BHK,Embassy Springs,4810,5,0,380.02
Built-up Area,1 Year,Whitefield,5 BHK,Mantri Webcity,2755,4,1,181.86
Built-up Area,New Launch,KR Puram,2 BHK,Brigade Cosmopolis,1158,2,0,36.37
Built-up Area,6 Months,Hebbal,3 BHK,Embassy Boulevard,1501,2,0,94.65
Carpet Area,Under Construction,Kalyan Nagar,3 BHK,Brigade Orchards,1388,1,0,50.99
Super built-up Area,Immediate Possession,Basaveshwara Nagar,4 BHK,Sobha Silicon Oaks,2341,2,1,267.07
Built-up Area,2 Years,Kengeri,4 BHK,Embassy Pristine,2315,3,2,55.6
Super built-up Area,1 Year,HSR Layout Sector 1,3 BHK,Brigade Cosmopolis,1369,3,2,171.66
Plot Area,Under Construction,Basaveshwara Nagar,2 BHK,Salarpuria Greenage,1138,2,0,94.91
Super built-up Area,Ready To Move,HSR Layout Sector 6,3 BHK,Sobha Windfall,1727,1,2,170.65
Built-up Area,6 Months,BTM Layout,2 BHK,Purva Fountain Square,1028,1,2,71.13
Carpet Area,1 Year,Kengeri Satellite Town,4 BHK,Brigade Cosmopolis,2434,3,2,109.2
Carpet Area,New Launch,Koramangala 4th Block,3 BHK,Prestige Golfshire,1389,3,2,180.71
Plot Area,2 Years,Sarjapur Road,4 BHK,Purva Riviera,2136,4,3,206.84
Plot Area,Under Construction,Koramangala 5th Block,3 BHK,Prestige Lakeside Habitat,1506,3,3,83.26
Plot Area,Ready To Move,Kundanhalli,3 BHK,Embassy Springs,1664,2,2,139.84
Plot Area,Under Construction,Koramangala,3 BHK,Mantri Espana,1722,3,1,239.96
Plot Area,6 Months,Malleshwaram,3 BHK,Embassy Lake Terraces,1752,1,1,287.6
Built-up Area,Immediate Possession,Kengeri Satellite Town,5 BHK,Sobha City,3063,4,1,87.93
Carpet Area,Ready To Move,JP Nagar,3 BHK,Prestige Shantiniketan,1606,2,2,73.71
Carpet Area,Under Construction,Hoodi,4 BHK,Salarpuria Misty Charm,2732,2,3,205.52
Super built-up Area,Immediate Possession,Jayanagar,5 BHK,Prestige Song of the South,3418,4,3,265.72
Super built-up Area,Under Construction,Bommanahalli,3 BHK,Godrej Aqua,1601,2,1,163.14
Plot Area,Ready To Move,Hoodi,3 BHK,Purva Highlands,1532,3,1,184.17
Carpet Area,6 Months,Malleshwaram,3 BHK,Sobha Windfall,1421,2,2,146.36
Carpet Area,Ready To Move,Koramangala 5th Block,4 BHK,Embassy Springs,2308,4,2,220.95
Super built-up Area,6 Months,Banaswadi,4 BHK,Sobha Windfall,2261,3,2,204.84
Super built-up Area,Under Construction,Brookefield,1 BHK,Salarpuria Sattva,529,1,1,31.94
Plot Area,Ready To Move,Whitefield,3 BHK,Godrej Eternity,1522,1,1,120.92
Super built-up Area,2 Years,Koramangala 6th Block,4 BHK,Salarpuria Greenage,2665,4,1,370.89
Super built-up Area,Ready To Move,Koramangala 6th Block,5 BHK,Salarpuria Divinity,3387,3,3,308.65
Plot Area,Immediate Possession,Bommanahalli,3 BHK,Embassy Boulevard,1407,1,2,144.08
Carpet Area,New Launch,HSR Layout Sector 2,4 BHK,Mantri Alpyne,1800,2,2,88.49
Plot Area,6 Months,Hebbal,1 BHK,Embassy Lake Terraces,460,1,1,53.78
Carpet Area,1 Year,Hebbal,2 BHK,Godrej Aqua,887,1,1,62.35
Built-up Area,New Launch,Yelahanka,3 BHK,Brigade Millennium,1547,1,3,40.45
Built-up Area,Ready To Move,Bellandur,3 BHK,Mantri Alpyne,1545,1,2,104.42
Built-up Area,Immediate Possession,Vijayanagar,5 BHK,Prestige Lakeside Habitat,3119,4,3,171.07
Plot Area,Immediate Possession,JP Nagar,3 BHK,Sobha Silicon Oaks,1796,1,2,278.08
Plot Area,Immediate Possession,Nagarbhavi,3 BHK,Prestige Song of the South,1646,1,2,94.55
Carpet Area,New Launch,Brookefield,3 BHK,Brigade Cosmopolis,1608,2,2,41.78
Built-up Area,Under Construction,Nagarbhavi,3 BHK,Mantri Serenity,1648,2,3,87.56
Built-up Area,2 Years,Koramangala 6th Block,4 BHK,Embassy Lake Terraces,2251,2,1,290.54
Plot Area,New Launch,Koramangala 5th Block,2 BHK,Godrej Air,1174,1,2,124.59
Built-up Area,Immediate Possession,Ramamurthy Nagar,3 BHK,Salarpuria Sattva,1640,1,1,107.02
Plot Area,Ready To Move,Bellandur,3 BHK,Purva Riviera,1524,2,3,165.74
Built-up Area,1 Year,Hoodi,4 BHK,Prestige Song of the South,2037,2,1,127.99
Plot Area,Ready To Move,Rajajinagar,2 BHK,Mantri Serenity,983,1,2,91.21
Built-up Area,New Launch,Koramangala 6th Block,2 BHK,Brigade Gateway,1150,1,3,108.11
Built-up Area,Under Construction,Koramangala 6th Block,3 BHK,Sobha Silicon Oaks,1572,2,2,236.74
Built-up Area,2 Years,Thanisandra,2 BHK,Prestige Lakeside Habitat,1312,1,1,54.93
Super built-up Area,1 Year,Kadugodi,3 BHK,Salarpuria Sattva,1856,3,1,102.96
Super built-up Area,Ready To Move,HSR Layout,4 BHK,Godrej Eternity,2317,3,0,310.12
Carpet Area,New Launch,HSR Layout,4 BHK,Purva Riviera,2217,3,1,86.7
Carpet Area,2 Years,JP Nagar,2 BHK,Purva Panorama,1221,1,2,54.4
Carpet Area,6 Months,HSR Layout Sector 2,3 BHK,Purva Highlands,1667,1,2,94.61
Built-up Area,New Launch,Hoodi,1 BHK,Godrej Air,565,1,2,43.17
Built-up Area,Under Construction,Koramangala 5th Block,2 BHK,Sobha Windfall,1154,1,1,133.24
Plot Area,Under Construction,Sarjapur Road,2 BHK,Row House,915,1,0,95.33
Carpet Area,1 Year,Basaveshwara Nagar,2 BHK,Embassy Boulevard,1004,2,2,41.43
Built-up Area,Immediate Possession,BTM Layout 2nd Stage,4 BHK,Salarpuria Sattva,1933,4,2,138.35
Plot Area,Immediate Possession,Bannerghatta Road,3 BHK,Prestige Song of the South,1466,1,2,66.73
Super built-up Area,6 Months,Yeshwanthpur,5 BHK,Embassy Lake Terraces,2890,3,2,184.18
Built-up Area,Immediate Possession,Koramangala 7th Block,4 BHK,Brigade Millennium,2217,2,1,198.59
Carpet Area,New Launch,BTM Layout 2nd Stage,3 BHK,Mantri Espana,1589,2,2,54.9
Built-up Area,Under Construction,BTM Layout,4 BHK,Godrej Air,2512,2,1,157.08
Super built-up Area,2 Years,Hebbal,2 BHK,Purva Riviera,1007,1,1,110.41
Super built-up Area,New Launch,Bommanahalli,2 BHK,Embassy Pristine,973,2,1,52.83
Plot Area,Under Construction,HSR Layout Sector 2,3 BHK,Embassy Lake Terraces,1787,2,2,146.84
Carpet Area,6 Months,Jayanagar,6 BHK,Brigade Millennium,4846,4,1,213.9
Built-up Area,Ready To Move,Kadugodi,3 BHK,Embassy Boulevard,1664,2,3,112.26
Plot Area,Immediate Possession,Yelahanka,2 BHK,Mantri Webcity,1328,2,3,132.62
Plot Area,1 Year,Kengeri,3 BHK,Mantri Espana,1690,2,1,88.44
Super built-up Area,Under Construction,Koramangala 5th Block,4 BHK,Prestige Shantiniketan,2306,4,0,216.03
Plot Area,Under Construction,Bellandur,3 BHK,Salarpuria Divinity,1529,1,3,135.68
Super built-up Area,1 Year,KR Puram,2 BHK,Brigade Orchards,1260,1,1,36.7
Carpet Area,2 Years,Hoodi,2 BHK,Independent House,1092,1,2,85.57
Carpet Area,Under Construction,Banaswadi,3 BHK,Salarpuria Misty Charm,1418,2,2,84.95
Built-up Area,Immediate Possession,Koramangala 5th Block,3 BHK,Sobha Dream Acres,1647,2,2,184.46
Plot Area,1 Year,HSR Layout,2 BHK,Mantri Espana,1013,1,3,51.91
Super built-up Area,Ready To Move,Domlur,2 BHK,Prestige Lakeside Habitat,1180,2,0,117.94
Super built-up Area,Under Construction,Malleshwaram,3 BHK,Embassy Lake Terraces,1594,3,1,118.76
Built-up Area,2 Years,Hebbal,2 BHK,Mantri Espana,1105,2,3,70.63
Super built-up Area,1 Year,Whitefield,3 BHK,Mantri Webcity,1567,3,2,136.33
Plot Area,1 Year,Hebbal,2 BHK,Mantri Webcity,1109,2,2,131.14
Super built-up Area,Ready To Move,HSR Layout Sector 2,2 BHK,Prestige Lakeside Habitat,1042,1,0,128.98
Super built-up Area,Under Construction,Kengeri Satellite Town,4 BHK,Mantri Espana,2938,4,1,176.76
Plot Area,2 Years,Whitefield,4 BHK,Salarpuria Greenage,2504,3,1,142.07
Super built-up Area,Immediate Possession,Indiranagar,3 BHK,Purva Fountain Square,1348,2,1,268.77
Built-up Area,1 Year,Kundanhalli,3 BHK,Embassy Pristine,1350,2,1,103.83
Carpet Area,1 Year,Kundanhalli,2 BHK,Godrej Eternity,1186,1,2,58.97
Super built-up Area,Ready To Move,Rajajinagar,2 BHK,Godrej Aqua,1082,1,3,43.35
Built-up Area,6 Months,Yelahanka,3 BHK,Purva Riviera,1663,3,1,85.59
Super built-up Area,Under Construction,Basaveshwara Nagar,1 BHK,Godrej Aqua,585,1,2,39.57
Built-up Area,Immediate Possession,Basavanagudi,3 BHK,Sobha Dream Acres,1624,1,1,83.87
Carpet Area,Under Construction,Domlur,3 BHK,Godrej United,1563,2,1,86.83
Built-up Area,6 Months,Varthur,4 BHK,Prestige Shantiniketan,1847,3,3,69.24
Built-up Area,Ready To Move,Bommanahalli,1 BHK,Godrej Eternity,574,1,2,48.8
Carpet Area,1 Year,Mahadevapura,4 BHK,Godrej Eternity,2587,2,2,215.16
Plot Area,Ready To Move,HSR Layout,3 BHK,Mantri Espana,1827,2,2,185.45
Carpet Area,1 Year,Koramangala 7th Block,3 BHK,Purva Panorama,1617,2,1,170.51
Carpet Area,Immediate Possession,Nagarbhavi,2 BHK,Salarpuria Misty Charm,1173,1,3,75.43
Plot Area,New Launch,Brookefield,3 BHK,Embassy Pristine,1595,2,1,99.08
Built-up Area,Under Construction,Koramangala 4th Block,3 BHK,Sobha Windfall,1645,3,2,200.14
Carpet Area,Immediate Possession,Basaveshwara Nagar,3 BHK,Mantri Alpyne,1795,1,1,182.35
Plot Area,Immediate Possession,Kadugodi,4 BHK,Mantri Alpyne,2335,2,2,229.89
Built-up Area,1 Year,Hebbal,3 BHK,Prestige Song of the South,1719,1,1,150.31
Built-up Area,2 Years,Electronic City,4 BHK,Purva Fountain Square,2324,2,2,142.51
Built-up Area,Immediate Possession,HSR Layout Sector 6,4 BHK,Embassy Lake Terraces,2032,4,1,97.21
Built-up Area,Under Construction,Kalyan Nagar,2 BHK,Godrej Aqua,1151,1,2,85.94
Super built-up Area,Immediate Possession,Marathahalli,4 BHK,Salarpuria Divinity,2467,3,1,247.74
Carpet Area,Under Construction,Kengeri,3 BHK,Brigade Millennium,1547,1,1,69.01
Built-up Area,New Launch,Ramamurthy Nagar,4 BHK,Row House,1966,3,1,55.71
Built-up Area,Immediate Possession,Basavanagudi,5 BHK,Embassy Pristine,3180,3,2,239.0
Built-up Area,Immediate Possession,Kalyan Nagar,3 BHK,Godrej Eternity,1529,2,3,106.85
Super built-up Area,New Launch,Marathahalli,2 BHK,Salarpuria Divinity,1024,1,0,73.32
Built-up Area,6 Months,Hebbal,2 BHK,Embassy Pristine,1024,1,1,32.83
Plot Area,Ready To Move,Banaswadi,1 BHK,Godrej Air,601,1,2,33.87
Carpet Area,1 Year,Hoodi,3 BHK,Godrej United,1631,3,2,109.07
Built-up Area,6 Months,HSR Layout Sector 1,3 BHK,Sobha Dream Acres,1785,2,1,250.51
Carpet Area,2 Years,Nagarbhavi,3 BHK,Prestige Lakeside Habitat,1341,2,2,38.9
Plot Area,Ready To Move,Koramangala 6th Block,4 BHK,Brigade Millennium,2257,2,3,317.22
Plot Area,Under Construction,Brookefield,3 BHK,Mantri Serenity,1748,2,1,96.28
Built-up Area,2 Years,Basaveshwara Nagar,4 BHK,Purva Fountain Square,2296,2,1,295.04
Carpet Area,6 Months,Kengeri,4 BHK,Mantri Webcity,2369,3,1,121.7
Carpet Area,2 Years,Bannerghatta Road,4 BHK,Salarpuria Greenage,2035,3,0,135.19
Plot Area,6 Months,Malleshwaram,4 BHK,Salarpuria Divinity,2561,4,2,355.92
Super built-up Area,Immediate Possession,Kadugodi,6 BHK,Brigade Gateway,5524,5,2,282.66
Plot Area,Immediate Possession,HSR Layout,4 BHK,Brigade Orchards,2354,4,1,255.55
Plot Area,2 Years,Hennur,4 BHK,Purva Riviera,2639,3,1,147.27
Built-up Area,New Launch,Vijayanagar,2 BHK,Godrej Eternity,1034,1,3,76.09
Built-up Area,1 Year,Malleshwaram,2 BHK,Prestige Shantiniketan,988,1,1,167.41
Plot Area,6 Months,Varthur,4 BHK,Brigade Gateway,2553,3,1,263.66
Plot Area,New Launch,Kadugodi,6 BHK,Standalone Villa,5105,5,2,322.72
Built-up Area,6 Months,BTM Layout 1st Stage,3 BHK,Embassy Springs,1653,2,2,189.37
Super built-up Area,1 Year,Nagarbhavi,2 BHK,Purva Riviera,1042,1,2,44.16
Plot Area,Immediate Possession,Malleshwaram,3 BHK,Prestige Shantiniketan,1475,2,2,263.36
Built-up Area,Under Construction,Yelahanka,2 BHK,Sobha Dream Acres,1125,2,1,68.19
Plot Area,Ready To Move,Electronic City,4 BHK,Embassy Lake Terraces,2267,2,2,127.03
Plot Area,1 Year,Hebbal,2 BHK,Prestige Song of the South,1214,1,2,70.51
Plot Area,2 Years,HSR Layout Sector 1,2 BHK,Purva Fountain Square,1184,2,1,68.59
Plot Area,New Launch,Kengeri,2 BHK,Purva Riviera,973,1,2,38.47
Built-up Area,6 Months,Bommanahalli,2 BHK,Prestige Lakeside Habitat,1120,1,1,53.04
Super built-up Area,Ready To Move,Electronic City,4 BHK,Purva Fountain Square,2238,2,1,71.64
Built-up Area,New Launch,Brookefield,2 BHK,Prestige Song of the South,1108,2,2,83.02
Plot Area,1 Year,HSR Layout Sector 6,2 BHK,Purva Fountain Square,1313,1,2,97.45
Carpet Area,6 Months,Rajajinagar,3 BHK,Sobha City,1692,2,2,154.42
Super built-up Area,6 Months,Kadugodi,1 BHK,Godrej Eternity,537,1,2,27.46
Super built-up Area,Ready To Move,Mahadevapura,4 BHK,Prestige Lakeside Habitat,2280,3,3,206.57
Built-up Area,1 Year,Marathahalli,5 BHK,Embassy Boulevard,3287,5,1,136.24
Carpet Area,New Launch,Brookefield,4 BHK,Mantri Espana,2304,2,3,148.55
Super built-up Area,Immediate Possession,Hoodi,3 BHK,Brigade Cosmopolis,1515,3,1,108.53
Plot Area,1 Year,Koramangala 1st Block,3 BHK,Brigade Cosmopolis,1608,2,2,313.25
Super built-up Area,2 Years,Koramangala 5th Block,3 BHK,Mantri Serenity,1576,1,3,89.37
Super built-up Area,2 Years,Yeshwanthpur,5 BHK,Prestige Golfshire,3131,4,2,175.46
Super built-up Area,1 Year,Malleshwaram,2 BHK,Row House,1176,2,1,75.37
Built-up Area,Immediate Possession,Indiranagar,2 BHK,Sobha City,1208,2,2,137.66
Built-up Area,Under Construction,Basavanagudi,3 BHK,Prestige Lakeside Habitat,1340,2,3,83.39
Plot Area,2 Years,Kadugodi,3 BHK,Brigade Cosmopolis,1896,3,1,179.09
Carpet Area,Immediate Possession,Domlur,3 BHK,Brigade Millennium,1690,1,3,184.87
Super built-up Area,Ready To Move,Koramangala 5th Block,5 BHK,Purva Riviera,3022,5,3,278.52
Built-up Area,6 Months,JP Nagar,2 BHK,Embassy Pristine,1041,2,2,48.28
Super built-up Area,6 Months,Varthur,3 BHK,Embassy Lake Terraces,1447,2,2,60.56
Built-up Area,Under Construction,Ramamurthy Nagar,3 BHK,Standalone Villa,1725,3,3,98.06
Carpet Area,New Launch,HSR Layout Sector 6,4 BHK,Row House,2299,3,1,153.27
Plot Area,Under Construction,Domlur,3 BHK,Purva Riviera,1674,2,2,149.56
Built-up Area,New Launch,Hoodi,4 BHK,Prestige Golfshire,2251,2,3,143.14
Carpet Area,Immediate Possession,Sarjapur Road,2 BHK,Brigade Millennium,949,1,2,24.04
Plot Area,Under Construction,HSR Layout Sector 1,4 BHK,Godrej Aqua,2452,4,2,290.39
Plot Area,2 Years,Koramangala,3 BHK,Salarpuria Sattva,1394,2,3,196.71
Carpet Area,2 Years,Jayanagar,4 BHK,Mantri Serenity,2416,3,0,277.85
Plot Area,Ready To Move,Brookefield,2 BHK,Salarpuria Greenage,1186,1,1,60.46
Super built-up Area,New Launch,JP Nagar,3 BHK,Prestige Shantiniketan,1703,2,0,159.38
Carpet Area,Under Construction,Rajajinagar,3 BHK,Embassy Pristine,1385,1,2,52.93
Carpet Area,Immediate Possession,Nagarbhavi,5 BHK,Brigade Cosmopolis,3452,4,1,121.29
Plot Area,6 Months,Mahadevapura,2 BHK,Sobha Dream Acres,909,1,1,73.4
Super built-up Area,Ready To Move,BTM Layout,4 BHK,Brigade Millennium,2289,4,2,161.24
Carpet Area,Ready To Move,Whitefield,2 BHK,Godrej Air,800,1,2,33.55
Built-up Area,Ready To Move,KR Puram,3 BHK,Godrej Eternity,1639,2,1,121.57
Built-up Area,Immediate Possession,JP Nagar,3 BHK,Embassy Lake Terraces,1512,3,2,42.19
Plot Area,1 Year,Kengeri,5 BHK,Brigade Millennium,3665,4,1,412.65
Super built-up Area,New Launch,Koramangala,3 BHK,Brigade Gateway,1852,2,3,208.24
Built-up Area,Ready To Move,Thanisandra,3 BHK,Brigade Millennium,1422,1,1,70.23
Super built-up Area,Ready To Move,Rajajinagar,4 BHK,Mantri Espana,2702,3,1,460.86
Carpet Area,New Launch,Thanisandra,3 BHK,Brigade Millennium,1652,1,1,43.96
Built-up Area,Under Construction,BTM Layout,3 BHK,Purva Panorama,1805,1,2,235.74
Plot Area,Ready To Move,Banashankari,2 BHK,Sobha City,1216,1,1,48.33
Plot Area,Immediate Possession,Kalyan Nagar,4 BHK,Godrej Aqua,2627,4,1,154.54
Super built-up Area,1 Year,Koramangala 6th Block,2 BHK,Purva Panorama,1053,1,3,57.08
Carpet Area,1 Year,Vijayanagar,2 BHK,Salarpuria Divinity,1071,1,1,106.07
Super built-up Area,1 Year,Kengeri,1 BHK,Brigade Orchards,584,1,1,20.0
Plot Area,2 Years,Malleshwaram,2 BHK,Prestige Shantiniketan,1285,2,3,175.71
Plot Area,6 Months,Koramangala 6th Block,4 BHK,Embassy Pristine,2400,3,2,394.51
Super built-up Area,New Launch,Vijayanagar,3 BHK,Embassy Lake Terraces,1446,3,1,56.27
Carpet Area,Immediate Possession,HSR Layout Sector 1,3 BHK,Salarpuria Divinity,1827,2,3,200.53
Carpet Area,1 Year,Brookefield,2 BHK,Row House,1221,1,1,105.01
Carpet Area,Immediate Possession,Kadugodi,4 BHK,Godrej Aqua,2161,2,1,119.84
Plot Area,New Launch,Brookefield,2 BHK,Sobha Dream Acres,1033,1,2,77.59
Plot Area,1 Year,Banashankari,2 BHK,Standalone Villa,987,1,2,44.46
Plot Area,Ready To Move,Brookefield,4 BHK,Prestige Golfshire,2515,3,2,198.34
Carpet Area,1 Year,Hoodi,2 BHK,Mantri Alpyne,1034,1,2,31.96
Built-up Area,Ready To Move,Koramangala 4th Block,2 BHK,Mantri Webcity,1116,1,0,84.75
